Pays;Monnaie;Code ISO
Taïwan;Nouveau dollar de Taïwan;TWD
Tanzanie;Shilling tanzanien;TZS
Tchad;Franc CFA;XAF
Thaïlande;Baht;THB
Timor-Oriental;Dollar américain;USD
Togo;Franc CFA;XOF
Tonga;Pa'anga;TOP
Trinité-et-Tobago;Dollar trinidadien;TTD
Tunisie;Dinar tunisien;TND
Turkménistan;Manat turkmène;TMT
Turquie;Livre turque;TRY
Tuvalu;Dollar australien;AUD
Ukraine;Hryvnia;UAH
Uruguay;Peso uruguayen;UYU
Vanuatu;Vatu;VUV
Vatican;Euro;EUR
Venezuela;Bolívar vénézuélien;VEF
Viêt Nam;Dong;VND
Yémen;Rial yéménite;YER
Zambie;Kwacha zambien;ZMW
Zimbabwe;Dollar américain;USD
